Sl.No.,Towers,,,,,,,,,,,ACCESS ROAD,,Soil Investigation,,Excavation,,Lean Concrete,,Stub Settings,,Concrete,,Backfilling,,Ground Erection,,Crane Erection,,Conductor ,,EW,,OPGW,,,,"ANGLE POINT
NO.","Line Angle
Degrees",Spans,,,,,,,CONDUCTOR,,,,,,,OPGW ,,,,EARTHWIRE,,,,,Warning Spheres,GROUNDING,,,,Towers,
,Construction No.,"Tower
32,31,BNS+9,,,,,295105.2,4690323.3,122.9,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,10620.0,3,, ,,340,382,1.12,,,,,DS,, ,,1,1,95-S,1,1, ,95-S,1,1,2,0,,Step-1,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,400/51,,,,6,,,,,,,,,,,,,,,,ROAD,,
33,32,BNS+6,,,,,294810.5,4690419.5,127.8,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,10930.0,4.1,, ,,315,346,1.10,,,,,DS,, ,,1,1,95-S,1,1, ,95-S,1,1,2,0,,Step-1,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.67,,,,,,,400/51,,,,6,,,,,,,,,,,,,,,,,,
34,33,B30-3,,,,,294505.7,4690519.1,130.6,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,11250.7,4.1,AP12,27.83,,378,274,0.72,,,,,2T-2T,1,3,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.33,,,,17.0,435.8,871.5,400/51,,,,8,,,,,,,,,,,,,,,,,,
35,34,BNS+12,,,,,294203.6,4690831.2,148.0,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,11685.0,5.1,, ,,437,493,1.13,,,,,DS,, ,,1,1,95-S,1,1, ,95-S,1,1,2,0,,Step-1,,,,CW: 200 kg,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.17,,,,,,,400/51,,,,9,,,,,,,,,,,,,,,,"ROAD, MV OHDL",,
36,35,B30-3,,,,,293899.5,4691145.2,192.3,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,12122.2,3,AP13,3.77,,458,601,1.31,,,,,2T-2T,3,3,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.83,,,,18.0,477.8,477.8,400/51,,,,9,,,,,,,,,,,,,,,,,,
37,36,B30+0,,,,,293590.4,4691509.6,161.9,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,12600.0,5.1,, ,,460,299,0.65,,,,,2T-2T,3,3,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,19.0,394.1,1530.0,400/51,,,,9,,,,,,,,,,,,,,,,,,
38,37,BNS+3,,,,,293305.8,4691845.1,197.3,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,13040.0,3,, ,,433,495,1.14,,,,,SS,, ,,1,1,95-S,1,1, ,95-S,1,1,2,0,,Step-1,,,,,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,,,,,,,400/51,,,,8,,,,,,,,,,,,,,,,,,
